Organization,City,State,Company Website Address,College All or Specific Majors,College Majors Ag/Life Sciences,College Majors Bus/Comm,College Majors Ed/Human Dev,College Majors Lang/Letters,College Majors Perf/Visual Arts,College Majors Ph Sciences/Engineering,College Majors Found/Interd Studies,Company Paragraph,Organization Type,Cost of Tuition?,Average Time to Graduation?,Industry Job Outlook?,Placement Rate?,Booths-Employer,Booths-Graduate School,Booths-On Campus Group
"Accendero Software, Inc.",Idaho Falls,Id,www.accendero.com,Specific Majors,,"Business Management - Marketing,Communication - Advertising,Communication - Public Relations,Communication - Visual Communication",,,,"Applied Mathematics     ,Applied Software Engineering,Biostatistics,Computer Engineering     ,Computer Science     ,Mathematical Sciences,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"Accendero Software designs and implements fully custom software solutions for clients in the Biotechnical, Pharmaceutical, and Advanced Manufacturing Spheres.  We specialize in laboratory information management systems, visualization and reporting systems, data science consulting and advanced manufacturing workflow solutions.

We are located in eastern Idaho and provide a relaxed atmosphere with competitive compensation packages and clear advancement opportunities.  We recognize that junior software engineers often require significant growth and development opportunities and seek to provide them at every possibility.",Employer,,,,,C-6,,
Access Point Family Services,Idaho Falls,ID,http://accesspointkids.com/,Specific Majors,,,"Child Development     ,Early Childhood/Special Education     ,Elementary Education,Family & Consumer Science Education Composite     ,Health Psychology,Marriage and Family Studies    ,Professional Preschool Education    ,Psychology - General Psychology,Psychology - Industrial/Organizational Psychology,Social Work     ,Sociology ,Special Education K-12",,,,,Access Point Family Services has been serving families since 2000.  Access Point Family Services is the only agency in East Idaho owned and operated by a Board Certified Behavior Analyst.  We specialize in Applied Behavior Analysis (ABA) and provide training and supervision to students wishing to complete their BCBA and BCaBA.,Employer,,,,,F-4,,
Agri BEef,Boise,ID,www.agribeef.com,All Majors,,,,,,,,"Agri Beef Co. takes a comprehensive approach by being involved in every step of the beef lifecycle, including cattle ranching and feeding (AB Livestock), cattle nutrition (PerforMix Nutrition Systems) and beef processing (Washington Beef), while preserving natural resources (Agron Bioenergy).This model has led to a portfolio of globally recognized premium quality brands: Snake River Farms, Double R Ranch Beef, St. Helens Beef and Rancho El Oro.",Employer,,,,,B-8,,
Alaska Coach Tours,Juneau,AK,http://www.alaskacoachtours.com,All Majors,,,,,,,,"We are an Alaska-based tour and travel company providing coach tours for cruise ship guests. We operate seasonally in Juneau, Ketchikan, Sitka, and Skagway.",Employer,,,,,C-3,,
Anasazi Foundation,Mesa,AZ,www.anasazi.org,All Majors,,,,,,,,"ANASAZI Foundation
In the Native American tradition, life is a ?walking.? One?s walking is determined by the state of one?s heart toward all that is around him. ?Anasazi? is a Navajo word commonly interpreted as the ?ancient ones? or ?wise teachers.? According to legend, these wise teachers taught that the Creator placed man on the Earth in order for him to learn to ?walk forward??in harmony with man and all creation.
For years, ANASAZI Foundation?a non-profit 501(c)(3) organization headquartered in Arizona?has served families by introducing them to the wisdom of the lives led by these ancient ones.
Founded in 1988 by renowned wilderness pioneers Larry Olsen and Ezekiel Sanchez, ANASAZI gives young people an opportunity, through a primitive living experience and a philosophy that invites healing at the hands of nature, to effect a change of heart?a change in one?s whole way of walking in the world. ANASAZI?s licensed and nationally accredited outdoor behavioral healthcare programs are non-punitive?its caring and patient staff is focused not on bad behaviors, but on helping young people discover and nurture the ?seeds of greatness? which lie within. To those at ANASAZI, the wilderness is not a harsh place to break youth down, but rather a safe place?a place free from distractions where one can learn, ponder, and build.",Employer,,,,,A-12,,
Aspen Grove Family Camp and Conference Center,Provo,UT,aspengrove.byu.edu,All Majors,,,,,,,,"You can live and work on-site at Aspen Grove fall and winter semesters! Housing and utilities are provided as well as comparable wages. Some meals are also provided. All staff will be responsible for working in a variety of areas including: recreational programming, housekeeping, conference set-up, food service, snow removal, and minor maintenance of camp. Some evening, weekend and holiday work required. Commuter positions are also available.",Employer,,,,,I-8,,
Assisting Hands Home Care,Nampa,ID,www.assistinghands.com,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Business Analytics","Child Development     ,Early Childhood/Special Education     ,Health Psychology,Professional Preschool Education    ,Psychology - General Psychology,Social Work     ,Sociology ,Special Education K-12",,,,"General Studies    ,Interdisciplinary Studies     ,University Studies","At Assisting Hands, our mission is to offer our clients the very finest personalized medical and non-medical care, allowing them to remain safely and comfortably in their own homes.",Employer,,,,,G-11,,
"Avercast, LLC",Rigby,ID,www.avercast.com,Specific Majors,,"Business Analytics       ,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising,Communication - Public Relations,Communication - Visual Communication,Economics ,Financial Economics",,,,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,Applied Mathematics     ,Applied Software Engineering,Computer Engineering     ,Computer Information Technology,Computer Science     ,Manufacturing and Supply Chain,Mathematical Sciences,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,"Avercast LLC, an international supply chain management software company with headquarters here in Rigby ? Idaho, is currently recruiting interns for the following majors: Business Management (Supply Chain, Marketing & Finance), Computer Science (CS), Computer Information Technology (CIT), Data analytics/Data Sciences and Communications (Advertising & PR).  Previous successful BYU-Idaho interns have received employment (full-time or part-time) upon internship completion.  Our BYU-I interns are placed in positions to gain resume enhancing experience (no coffee runs here & no sales).  Our interns must be able to communicate effectively, work in a team environment, and self-motivate.",Employer,,,,,H-1,,
Basic American Foods,Blackfoot,ID,www.baf.com,All Majors,,,,,,,,"Basic American Foods is supplying important and innovative food to America and beyond. From our humble beginnings in 1933 with a vision of moving excess food from California to the East Coast, we are now a critical supplier in the food service industry with shelf-stable potatoes and beans. We are also an innovator in the Health and Wellness space with our Modern Table brand bringing healthy, yummy and easy meals to everyday life.",Employer,,,,,A-9,,
BGZ brands,Lehi,UT,www.bgzbrands.com,All Majors,,,,,,,,"In 2002, BGZ brands got its start as BodyGuardz, a device protection company that specializes in screen protection. What began as a small line of screen protectors for a limited number of devices has grown into thousands of protection products used by millions throughout the world. Our brands include BodyGuardz, Lander and Moxyo.",Employer,,,,,I-5,,
Boise State University Graduate College,Boise,ID,https://graduatecollege.boisestate.edu/,All Majors,,,,,,,,"Boise State is the home of internationally recognized scholars and research activities, award-
winning faculty, championship athletic teams, and a student body that is growing in number, diversity, and international scope.

Boise State is located within the largest metropolitan area of Idaho and attracts more than one million people annually to its cultural, entertainment, and sporting events. The campus, bordered by the Boise River greenbelt, is beautifully maintained and provides a relaxed environment.

The Graduate College at Boise State University provides institutional oversight for over 75 distinct graduate curricula leading to master's and doctoral degrees.",Graduate School,"$9,588 per year for In-State",Depends of the program,Dependant on program and Job interest,Dependant on program and Job interest,,K-1,
Book Of Mormon Central,American Fork,UT,bookofmormoncentral.org,Specific Majors,,"Communication - Video Production,Communication - Visual Communication",,"English  ,English Education ,English Education Composite,History,History Education     ,Humanities  ,Social Studies Education Composite     ,Spanish Education",,,,"Book of Mormon Central builds enduring faith in Jesus Christ by making the Book of Mormon accessible, comprehensible, and defensible to the entire world.",Employer,,,,,C-11,,
Brickline Pavers,Sugar City,ID,bricklinepavers.com,All Majors,,,,,,,,"Brickline Pavers has over 20 years of experience in providing the best in concrete pavers, natural stone, and more for masons, contractors, and home-owners.
We are looking for dedicated, capable team-members to join us. There are positions available in logistics, sales, delivery, and web-design.",Employer,,,,,A-11,,
Brigham Young University,Provo,UT,https://graduatestudies.byu.edu,All Majors,,,,,,,,"BYU Graduate Studies.  We offer world class instruction from faculty mentors who genuinely care about both your professional and personal development as they challenge and expand your academic intellect using cutting edge pedagogical practices and technologies. Share your unique perspectives and engage in diverse dialogue with our faculty, university administration, and our student population who are represented from all across the nation and from all over the globe from more than 100 countries.",Graduate School,7000,3,Excellent,Excellent,,O-2,
Brigham Young University,Provo,UT,education.byu.edu/edlf/educationpolicy,All Majors,,,,,,,,"BYU's Education Policy Studies master's degree is a rigorous two-year program, preparing professionals to contribute to education change, policy, and research on a local, national, and global scale.

Students will examine education movements, reforms, outcomes, and controversies using modes of inquiry associated with an array of scholarly fields and disciplines, including history, philosophy, political science, economics, policy studies, and comparative education.",Graduate School,"7,080 per year",2 years,Strong,High,,M-12,
Brigham Young University,Provo,UT,www.byu.edu,All Majors,,,,,,,,"The School of Communications offers a broad-based master?s program designed to promote critical thinking and research with a particular focus on the interaction between media and society.

The program of study prepares students with the theoretical background, methodological expertise, and critical thinking skills needed both for continued studies at the doctoral level and informed professional practice. It emphasizes communications theory and quantitative and qualitative research methodologies. Specialized topical areas include literature of journalism, communication history, media and religion, international media and communication, communication ethics and law, persuasion, public relations and leadership, and media effects.

One graduate degree is offered through the School of Communications: Mass Communications?MA. A minor in mass communications is also offered.

Approximately fifteen students are admitted to the master?s program each fall semester. The anticipated time spent in completing requirements for the master?s degree is two years.",Graduate School,"$7,080/year",2 years,good,not available,,L-11,
Brigham Young University Masters of Public Administration,Provo,UT,mpa.byu.edu,All Majors,,,,,,,,"A BYU MPA will prepare you to make a difference, both in your career and in your private life. Our students come from diverse academic, ethnic, and geographic backgrounds, yet they all share the same overarching goal to have an impact on the world around them.

The BYU MPA is housed at the Marriott School of Management?a top-ranked business school? and nearly every course in the program is focused on teaching our students applied skills and knowledge that will have an immediate impact on their careers. Furthermore, almost all of our courses are built around giving students hands-on experience. There are opportunities in most courses to work with community partners and apply the skills learned in classroom to real-life situations in local, national, and even global organizations.",Graduate School,"$6,530 per semester",2 years,"Primary industries we place students are federal, state and local government, consulting, and nonprofit organizations",80% average placement three months after graduation,,M-1,
Brigham Young University Office of Information Technology,Provo,UT,http://oitcareers-byu.net/,All Majors,,,,,,,,"Brigham Young University (BYU)'s mission is to ?assist individuals in their quest for perfection and eternal life"". BYU is a unique and fulfilling work environment with a mix of spiritual, educational, and business aspects. As a BYU employee in OIT and Communications, your contributions will help BYU provide students ?a period of intensive learning in a stimulating setting where...the full realization of human potential is pursued"". You will work with real-world, leading-edge technology that serves the campus community. Your work will be interesting, expanding, and motivating. You will work in a positive environment with uniquely strong values, and you will receive many tangible and intangible benefits. You will accrue 22 vacation days, 12 sick days, 12 calendar holidays, a pension, 401k matching, no-cost retirement savings program, free tuition for you and your spouse, half-price tuition for dependents, excellent medical/dental benefits, discounts on the many sporting and cultural events at BYU, and much more.",Employer,,,,,O-16,,
